surname,RANK,FREQUENCY (COUNT),"PROPORTION PER 100,000 POPULATION",CUMULATIVE PROPORTION,White,Black,Asian,Native,PERCENT NON-HISPANIC OR LATINO TWO OR MORE RACES,Latino
GREER,590,"57,043",19.3,"34,804.80",73.3,21.3,0.5,0.5,2.1,2.4
SUMMERS,591,"56,953",19.3,"34,824.10",78.9,14.8,0.5,1.1,2.3,2.3
HOUSTON,592,"56,900",19.3,"34,843.40",52.1,41.5,0.5,0.6,2.8,2.5
CARSON,593,"56,872",19.3,"34,862.70",72.3,21.7,0.6,0.8,2.3,2.4
MORROW,594,"56,840",19.3,"34,882.00",79.9,14.7,0.5,0.7,2,2.2
CLAYTON,595,"56,638",19.2,"34,901.20",69.1,25.5,0.5,0.5,2.2,2.2
WHITAKER,596,"56,616",19.2,"34,920.30",70.7,24.3,0.5,0.5,2,2
DECKER,597,"56,576",19.2,"34,939.50",94,0.9,0.5,0.6,1.6,2.5
YODER,598,"56,410",19.1,"34,958.70",97.8,0.2,0.2,0.2,0.7,0.9
COLLIER,599,"56,380",19.1,"34,977.80",67,27.4,0.5,0.6,2.4,2.2
ZUNIGA,600,"56,347",19.1,"34,996.90",4.5,0.5,0.8,0.2,0.2,93.9
CAREY,601,"56,322",19.1,"35,016.00",80.9,13.5,0.6,0.7,2.1,2.3
WILCOX,602,"56,286",19.1,"35,035.00",83.9,10.4,0.6,0.8,1.9,2.5
MELENDEZ,603,"56,230",19.1,"35,054.10",5,1,0.5,0.2,0.3,93.1
POOLE,604,"56,226",19.1,"35,073.20",72.6,22.7,0.5,0.4,2,1.9
ROBERSON,605,"56,180",19.1,"35,092.20",51.3,42.8,0.4,0.5,2.7,2.2
LARSEN,606,"55,960",19,"35,111.20",94.2,0.5,0.8,0.7,1.5,2.4
CONLEY,607,"55,917",19,"35,130.10",79.8,15.4,0.4,0.6,2,1.9
DAVENPORT,608,"55,895",19,"35,149.10",71.8,22.3,0.5,0.7,2.4,2.4
COPELAND,609,"55,850",18.9,"35,168.00",65.9,28.3,0.5,0.7,2.4,2.3
MASSEY,610,"55,595",18.9,"35,186.90",73.2,20.4,1.1,1.1,2,2.3
LAM,611,"55,554",18.8,"35,205.70",6.8,0.6,88,0.1,2,2.6
HUFF,612,"55,484",18.8,"35,224.50",81.4,13.4,0.5,0.7,1.9,2.1
ROCHA,613,"55,251",18.7,"35,243.20",16.5,0.8,0.8,0.3,0.5,81.1
CAMERON,614,"55,240",18.7,"35,262.00",75.5,17.9,0.7,0.7,2.1,3.1
JEFFERSON,615,"55,179",18.7,"35,280.70",17.5,74.2,0.4,1.9,3.5,2.5
HOOD,616,"55,174",18.7,"35,299.40",74.1,20.2,0.5,1,2.1,2.2
MONROE,617,"55,136",18.7,"35,318.10",62.9,29.3,0.5,1.5,2.5,3.3
ANTHONY,618,"55,114",18.7,"35,336.80",59.8,31.9,1.5,0.6,2.3,3.8
PITTMAN,619,"55,021",18.7,"35,355.40",63.6,31.3,0.4,0.7,2.1,2
HUYNH,620,"54,996",18.6,"35,374.10",0.8,0.1,96.7,0,1.7,0.7
RANDALL,621,"54,764",18.6,"35,392.60",74.7,19.1,0.6,1.2,2.2,2.3
SINGLETON,622,"54,621",18.5,"35,411.10",45.9,48.6,0.4,0.4,2.5,2.2
KIRK,623,"54,394",18.4,"35,429.60",82.4,10.6,1.3,1.4,2.1,2.3
COMBS,624,"54,257",18.4,"35,448.00",86.1,9.1,0.5,0.6,1.9,1.9
MATHIS,625,"54,217",18.4,"35,466.30",61.9,32.7,0.3,0.6,2.2,2.3
CHRISTIAN,626,"54,198",18.4,"35,484.70",66.4,24.6,2.3,0.6,2.5,3.6
SKINNER,627,"54,046",18.3,"35,503.00",79.3,15,0.5,0.7,2,2.5
BRADFORD,628,"54,015",18.3,"35,521.40",64.8,29.1,0.5,0.6,2.5,2.5
RICHARD,629,"53,893",18.3,"35,539.60",70.4,23.5,0.9,0.6,2,2.8
GALVAN,630,"53,822",18.3,"35,557.90",6.1,0.3,0.8,0.4,0.2,92.3
WALL,631,"53,794",18.2,"35,576.10",86.1,8.2,0.8,0.8,1.8,2.3
BOONE,632,"53,792",18.2,"35,594.30",62.4,31,0.5,1.4,2.4,2.4
KIRBY,633,"53,767",18.2,"35,612.60",85.9,9.2,0.5,0.7,1.8,1.9
WILKINSON,634,"53,739",18.2,"35,630.80",88.2,6.5,0.6,0.6,1.7,2.4
BRIDGES,635,"53,682",18.2,"35,649.00",67.7,27.1,0.5,0.5,2.2,2.1
BRUCE,636,"53,419",18.1,"35,667.10",77.4,15.9,0.7,1.1,2.2,2.7
ATKINSON,637,"53,376",18.1,"35,685.20",79.3,14,0.6,0.6,1.7,3.9
VELEZ,638,"53,265",18.1,"35,703.20",6.8,0.9,0.9,0.1,0.3,91
MEZA,639,"53,230",18.1,"35,721.30",3.7,0.3,0.2,0.2,0.1,95.5
ROY,640,"53,159",18,"35,739.30",75.2,9,9.7,1.5,2,2.6
VINCENT,641,"53,095",18,"35,757.30",78.9,14,1.4,0.6,2,3.1
YORK,642,"53,059",18,"35,775.30",85.8,8,0.9,1,2,2.3
HODGE,643,"52,920",17.9,"35,793.20",68.7,24.9,0.4,0.7,2.4,2.9
VILLA,644,"52,817",17.9,"35,811.10",8.1,0.4,2.1,0.3,0.4,88.7
ABBOTT,645,"52,739",17.9,"35,829.00",89.5,4.9,0.7,0.7,1.8,2.5
ALLISON,646,"52,701",17.9,"35,846.90",80.7,13.1,0.6,1.3,2,2.3
TAPIA,647,"52,651",17.9,"35,864.70",4.9,0.3,0.7,0.4,0.2,93.5
GATES,648,"52,569",17.8,"35,882.60",75,19.1,0.6,0.8,2.1,2.4
CHASE,649,"52,481",17.8,"35,900.40",81.8,11.4,0.7,1.5,2.1,2.5
SOSA,650,"52,457",17.8,"35,918.10",5.1,0.5,0.7,0.2,0.2,93.3
SWEENEY,651,"52,410",17.8,"35,935.90",90.6,4.8,0.6,0.4,1.3,2.4
FARRELL,652,"52,321",17.7,"35,953.60",89.9,4.8,0.7,0.5,1.4,2.7
WYATT,653,"52,211",17.7,"35,971.30",75.7,18.6,0.4,0.7,2.1,2.5
DALTON,654,"52,184",17.7,"35,989.00",86.8,7.7,0.6,0.7,1.9,2.3
HORN,655,"52,138",17.7,"36,006.70",85.2,8.7,1,1.2,1.8,2.2
BARRON,656,"52,070",17.7,"36,024.40",46.4,8.8,0.7,0.4,1.2,42.5
PHELPS,657,"52,044",17.6,"36,042.00",85.1,9.7,0.5,0.6,1.8,2.3
YU,658,"52,035",17.6,"36,059.60",1.5,0.1,96.1,0,1.6,0.7
DICKERSON,659,"51,889",17.6,"36,077.20",63,31.6,0.4,0.4,2.5,2.1
HEATH,660,"51,877",17.6,"36,094.80",80.3,14.4,0.5,0.8,1.8,2.2
FOLEY,661,"51,865",17.6,"36,112.40",92.1,3.3,0.7,0.3,1.5,2.1
ATKINS,662,"51,671",17.5,"36,129.90",67.6,26.7,0.5,0.6,2.4,2.2
MATHEWS,663,"51,592",17.5,"36,147.40",74.6,15.4,4.2,0.7,2.2,2.8
BONILLA,664,"51,475",17.5,"36,164.90",4.5,0.7,1.2,0.2,0.3,93.2
ACEVEDO,665,"51,351",17.4,"36,182.30",5.1,0.6,0.4,0.2,0.2,93.5
BENITEZ,666,"51,288",17.4,"36,199.70",3.8,0.5,1.6,0.1,0.2,93.9
ZAVALA,667,"51,153",17.3,"36,217.00",3.3,0.2,0.2,0.1,0.1,96.1
HENSLEY,668,"51,081",17.3,"36,234.30",92.8,1.9,0.5,1,1.8,2.1
GLENN,669,"51,043",17.3,"36,251.60",61.4,32.8,0.5,0.6,2.4,2.3
CISNEROS,670,"50,920",17.3,"36,268.90",4.6,0.2,0.2,0.1,0.2,94.7
HARRELL,671,"50,837",17.2,"36,286.10",66.1,28.8,0.4,0.5,2.2,2
SHIELDS,672,"50,832",17.2,"36,303.30",75.8,18.5,0.6,1,1.9,2.2
RUBIO,673,"50,788",17.2,"36,320.60",5.4,0.3,1.8,0.3,0.3,92
HUFFMAN,674,"50,786",17.2,"36,337.80",91.2,4.3,0.5,0.5,1.6,1.9
CHOI,674,"50,786",17.2,"36,355.00",1.6,0.3,96.1,0,1.5,0.5
BOYER,676,"50,742",17.2,"36,372.20",88.8,5.5,0.6,0.6,1.9,2.7
GARRISON,677,"50,686",17.2,"36,389.40",83.1,11,0.5,0.8,2.1,2.5
ARROYO,678,"50,614",17.2,"36,406.50",4.6,0.6,1.1,0.1,0.2,93.3
BOND,679,"50,610",17.2,"36,423.70",75.9,17.9,0.6,0.9,2.3,2.4
KANE,680,"50,584",17.2,"36,440.80",89.1,4.6,1.7,0.5,1.8,2.4
HANCOCK,681,"50,558",17.1,"36,458.00",87.3,7.7,0.5,0.6,1.7,2.2
CALLAHAN,682,"50,524",17.1,"36,475.10",89.8,5.3,0.6,0.5,1.6,2.2
DILLON,683,"50,465",17.1,"36,492.20",84.4,9.7,0.7,1,1.7,2.6
CLINE,684,"50,258",17,"36,509.30",92.9,2.2,0.5,0.9,1.6,2
WIGGINS,685,"50,247",17,"36,526.30",54.7,39.6,0.3,0.7,2.4,2.3
GRIMES,686,"50,245",17,"36,543.30",74.9,19.5,0.4,0.6,2.2,2.5
ARELLANO,687,"50,104",17,"36,560.30",4.5,0.1,2.6,0.3,0.4,92.1
MELTON,688,"50,069",17,"36,577.30",79.8,14.2,0.5,1.1,2.1,2.3
ONEILL,689,"50,028",17,"36,594.20",92.7,0.9,0.8,0.3,1.4,4
SAVAGE,690,"49,914",16.9,"36,611.20",74.8,19.6,0.5,0.8,2.1,2.2
HO,691,"49,817",16.9,"36,628.10",2.4,0.2,93.1,0,3.2,1.1
BELTRAN,692,"49,776",16.9,"36,644.90",4.9,0.4,3.3,0.2,0.3,90.9
PITTS,693,"49,740",16.9,"36,661.80",63.2,31.4,0.5,0.5,2.3,2.1
PARRISH,694,"49,733",16.9,"36,678.70",80.2,14.2,0.5,1.3,1.8,2
PONCE,695,"49,549",16.8,"36,695.40",5.1,0.4,2,0.2,0.4,91.9
RICH,696,"49,481",16.8,"36,712.20",85.2,9.3,0.7,0.6,1.9,2.4
BOOTH,697,"49,402",16.8,"36,729.00",83.4,10.8,0.6,1.1,1.8,2.3
KOCH,698,"49,395",16.8,"36,745.70",95.3,0.3,0.7,0.3,1.1,2.3
GOLDEN,699,"49,360",16.7,"36,762.40",74.7,19.9,0.5,0.6,2,2.3
WARE,700,"49,316",16.7,"36,779.20",48.7,44.9,0.5,0.8,2.8,2.4
BRENNAN,701,"49,238",16.7,"36,795.90",94.6,0.8,0.8,0.2,1.3,2.3
MCDOWELL,702,"49,217",16.7,"36,812.50",69.7,24.9,0.5,0.6,2.1,2.3
MARKS,703,"49,177",16.7,"36,829.20",79.9,14,0.7,0.9,1.9,2.5
CANTU,704,"49,126",16.7,"36,845.90",7.9,0.6,0.2,0.2,0.2,90.9
HUMPHREY,705,"49,056",16.6,"36,862.50",71.3,23.2,0.5,0.7,2.1,2.3
BAXTER,706,"49,033",16.6,"36,879.10",80.4,13.9,0.6,0.6,2.1,2.5
SAWYER,707,"49,028",16.6,"36,895.70",80.8,13.6,0.7,0.6,2,2.3
CLAY,708,"48,844",16.6,"36,912.30",52.7,40.5,0.5,0.9,2.9,2.4
TANNER,709,"48,813",16.6,"36,928.80",82.8,10.9,0.6,1.1,2.2,2.3
HUTCHINSON,710,"48,781",16.5,"36,945.40",75.4,18.5,0.7,0.7,2.2,2.5
KAUR,711,"48,753",16.5,"36,961.90",1.1,0.3,96.1,0.6,1.5,0.4
BERG,712,"48,746",16.5,"36,978.40",94.7,0.4,0.7,0.5,1.4,2.3
WILEY,713,"48,720",16.5,"36,995.00",65.7,28.7,0.5,0.6,2.3,2.2
GILMORE,714,"48,719",16.5,"37,011.50",65.4,28.1,0.5,0.9,2.6,2.6
RUSSO,715,"48,696",16.5,"37,028.00",93.9,0.4,0.5,0.1,0.9,4.1
VILLEGAS,716,"48,599",16.5,"37,044.50",4,0.3,3.2,0.2,0.4,91.9
HOBBS,717,"48,522",16.5,"37,060.90",79.1,15.5,0.4,0.8,2,2.3
KEITH,718,"48,487",16.4,"37,077.30",79.3,14.5,0.7,1.1,2.1,2.3
WILKERSON,719,"48,444",16.4,"37,093.80",64.7,29.4,0.5,0.6,2.6,2.3
AHMED,720,"48,319",16.4,"37,110.10",15.7,22,56.5,0.4,4,1.4
BEARD,721,"48,207",16.3,"37,126.50",74.9,19.6,0.5,0.7,2,2.4
MCCLAIN,722,"48,165",16.3,"37,142.80",61.1,33.1,0.4,0.5,2.6,2.4
MONTES,723,"48,142",16.3,"37,159.10",5.5,0.7,0.8,0.3,0.2,92.6
MATA,724,"48,120",16.3,"37,175.50",5.9,0.3,2.6,0.3,0.5,90.4
ROSARIO,725,"48,051",16.3,"37,191.70",5.7,1.8,4.5,0.1,0.8,87
VANG,726,"48,036",16.3,"37,208.00",1.4,(S),96.7,(S),1.4,0.4
WALTER,727,"48,024",16.3,"37,224.30",88.6,6.2,0.9,0.5,1.4,2.3
HENSON,728,"48,013",16.3,"37,240.60",82.1,10.8,1,1.3,2.5,2.4
ONEAL,729,"47,979",16.3,"37,256.80",64.6,29.2,0.4,0.7,2.6,2.5
MOSLEY,730,"47,963",16.3,"37,273.10",40.5,53.2,0.3,0.6,3.2,2.3
MCCLURE,731,"47,742",16.2,"37,289.30",84.6,9.7,0.6,0.8,1.9,2.3
BEASLEY,732,"47,693",16.2,"37,305.50",67,27.6,0.4,0.7,2.3,2
STEPHENSON,733,"47,641",16.2,"37,321.60",80.1,14,0.6,0.7,2,2.7
SNOW,734,"47,528",16.1,"37,337.70",85,9,0.6,1.4,2.1,1.9
HUERTA,735,"47,455",16.1,"37,353.80",3.8,0.2,0.3,0.1,0.1,95.5
PRESTON,736,"47,367",16.1,"37,369.90",73.2,20.4,0.6,1.1,2.3,2.5
VANCE,737,"47,324",16,"37,385.90",81.6,12.9,0.6,0.7,1.9,2.4
BARRY,738,"47,274",16,"37,401.90",84.5,10.5,0.8,0.4,1.4,2.5
JOHNS,739,"47,246",16,"37,418.00",79.8,12.8,0.8,2,2.2,2.5
EATON,740,"47,184",16,"37,433.90",85.1,9.6,0.5,0.8,1.7,2.3
BLACKWELL,741,"47,175",16,"37,449.90",65.7,28.5,0.4,0.8,2.6,2.1
DYER,742,"47,170",16,"37,465.90",83.2,11.4,0.5,0.7,1.8,2.5
PRINCE,743,"47,168",16,"37,481.90",66.4,26.5,0.7,0.9,2.4,3.1
MACDONALD,744,"46,717",15.8,"37,497.80",93.7,1.1,0.9,0.4,1.6,2.4
SOLOMON,745,"46,534",15.8,"37,513.50",57.8,32.1,3.1,1.4,2.4,3.2
GUEVARA,746,"46,454",15.8,"37,529.30",4.3,0.5,2.7,0.2,0.3,91.9
STAFFORD,747,"46,394",15.7,"37,545.00",79.1,15.1,0.5,0.9,2.2,2.2
ENGLISH,748,"46,393",15.7,"37,560.70",71.4,22.4,0.7,0.6,2.5,2.4
HURST,749,"46,244",15.7,"37,576.40",84.5,10.5,0.5,0.5,1.8,2.2
WOODARD,750,"46,240",15.7,"37,592.10",59.9,34.6,0.5,0.6,2.2,2.2
CORTES,751,"46,229",15.7,"37,607.80",4.8,0.4,2.1,0.1,0.2,92.4
SHANNON,752,"46,147",15.6,"37,623.40",75.2,19.5,0.5,0.4,2,2.4
KEMP,753,"46,146",15.6,"37,639.10",71.7,22.8,0.5,0.7,2.2,2.1
NOLAN,754,"46,054",15.6,"37,654.70",86.9,7.4,0.6,0.6,1.7,2.9
MCCULLOUGH,755,"45,852",15.5,"37,670.20",73.3,21.2,0.5,0.5,2,2.6
MERRITT,756,"45,594",15.5,"37,685.70",75.1,19.7,0.5,0.7,2,2.1
MURILLO,757,"45,558",15.4,"37,701.10",4.4,0.4,0.9,0.3,0.2,93.8
MOON,758,"45,528",15.4,"37,716.50",65.7,10,19.1,1,2.2,2
SALGADO,759,"45,469",15.4,"37,732.00",4.1,0.3,1.2,0.3,0.2,93.9
STRONG,760,"45,432",15.4,"37,747.40",66.8,25.8,0.8,1.5,2.5,2.6
KLINE,761,"45,390",15.4,"37,762.70",94.2,1.6,0.5,0.3,1.3,2
CORDOVA,762,"45,305",15.4,"37,778.10",10.3,0.6,1.3,0.8,0.5,86.5
BARAJAS,763,"45,153",15.3,"37,793.40",3.1,0.1,0.1,0.2,0.1,96.5
ROACH,764,"45,019",15.3,"37,808.70",80.3,14,0.5,0.8,1.8,2.7
ROSAS,765,"44,938",15.2,"37,823.90",3.9,0.3,0.5,0.2,0.1,95.1
WINTERS,766,"44,914",15.2,"37,839.10",79.1,15.1,0.5,0.8,2.1,2.4
JACOBSON,767,"44,808",15.2,"37,854.30",94.7,0.4,0.8,0.5,1.5,2.2
LESTER,768,"44,784",15.2,"37,869.50",75.8,18.6,0.4,1.2,1.8,2.2
KNOX,769,"44,742",15.2,"37,884.70",63.4,30.6,0.5,0.7,2.5,2.3
BULLOCK,770,"44,740",15.2,"37,899.80",61.6,33,0.5,0.6,2.2,2.2
KERR,771,"44,711",15.2,"37,915.00",86.9,7.5,0.8,0.6,1.8,2.4
LEACH,772,"44,581",15.1,"37,930.10",80.3,13.8,0.6,0.9,2,2.4
MEADOWS,773,"44,500",15.1,"37,945.20",81.2,14.2,0.4,0.5,1.8,1.9
ORR,774,"44,388",15.1,"37,960.20",79.4,15,0.7,0.8,2,2.2
DAVILA,774,"44,388",15.1,"37,975.30",6.6,0.7,0.3,0.2,0.2,92
WHITEHEAD,776,"44,373",15,"37,990.30",70.5,24,0.4,0.7,2.2,2.1
PRUITT,777,"44,365",15,"38,005.40",73.2,21.5,0.3,0.7,2.3,2
KENT,778,"44,325",15,"38,020.40",83.9,10.4,0.8,0.7,1.9,2.3
CONWAY,779,"44,320",15,"38,035.40",81.8,12.5,0.6,0.7,1.9,2.5
MCKEE,780,"44,137",15,"38,050.40",87.4,6.8,0.6,0.8,1.9,2.4
BARR,781,"44,130",15,"38,065.40",82.7,11.7,0.6,1,1.7,2.3
DAVID,782,"44,040",14.9,"38,080.30",59.5,14.9,13.9,1.7,2.5,7.6
DEJESUS,783,"44,038",14.9,"38,095.20",5.9,1.6,7.7,0.2,0.7,83.9
MARIN,784,"43,904",14.9,"38,110.10",11.1,1.1,0.8,0.2,0.3,86.6
BERGER,785,"43,851",14.9,"38,125.00",92.3,2.5,0.7,0.3,1.4,2.8
MCINTYRE,786,"43,842",14.9,"38,139.80",78.5,16.3,0.5,0.4,1.9,2.3
BLANKENSHIP,787,"43,830",14.9,"38,154.70",93.7,2,0.4,0.8,1.5,1.6
GAINES,788,"43,821",14.9,"38,169.50",42.9,50.7,0.3,0.6,3.1,2.4
PALACIOS,789,"43,798",14.9,"38,184.40",4.3,0.4,0.9,0.2,0.2,94.1
CUEVAS,790,"43,701",14.8,"38,199.20",7.4,0.3,1.7,0.2,0.2,90.2
BARTLETT,791,"43,648",14.8,"38,214.00",90.6,3.7,0.7,0.7,1.8,2.6
DURHAM,792,"43,635",14.8,"38,228.80",73,21.5,0.4,0.6,2.2,2.2
DORSEY,793,"43,631",14.8,"38,243.60",41.8,52.2,0.4,0.5,3.2,2
MCCALL,794,"43,483",14.7,"38,258.30",66.5,28.2,0.5,0.6,2.1,2.2
ODONNELL,795,"43,460",14.7,"38,273.10",95.1,0.5,0.6,0.3,1.2,2.4
STEIN,796,"43,389",14.7,"38,287.80",94.4,1,0.7,0.4,1.2,2.4
BROWNING,797,"43,329",14.7,"38,302.50",87.5,7.3,0.4,0.7,1.8,2.3
STOUT,798,"43,305",14.7,"38,317.10",92.1,2.3,0.7,0.9,1.7,2.4
LOWERY,799,"43,278",14.7,"38,331.80",68,23,0.4,4.5,2.2,2.1
SLOAN,800,"43,261",14.7,"38,346.50",79.4,13.9,0.6,1.8,2.1,2.3
MCLEAN,801,"43,260",14.7,"38,361.10",67,26.9,0.7,0.7,2.1,2.6
HENDRICKS,802,"43,197",14.6,"38,375.80",75.7,17.4,0.6,1.4,2.2,2.8
CALHOUN,803,"43,180",14.6,"38,390.40",61.7,33,0.5,0.5,2.3,2.1
SEXTON,804,"43,133",14.6,"38,405.00",91.4,3.6,0.5,0.7,1.6,2.1
CHUNG,805,"43,110",14.6,"38,419.70",2.3,2.3,90,0,4,1.4
GENTRY,806,"43,027",14.6,"38,434.20",82.1,12.2,0.4,0.7,2.1,2.5
HULL,807,"43,018",14.6,"38,448.80",85.5,8.6,0.6,0.7,1.9,2.6
DUARTE,808,"42,983",14.6,"38,463.40",16.2,1.7,0.9,0.3,1,80
ELLISON,809,"42,827",14.5,"38,477.90",65.8,28.3,0.6,0.6,2.3,2.4
NIELSEN,810,"42,773",14.5,"38,492.40",94.2,0.4,0.9,0.4,1.5,2.7
GILLESPIE,811,"42,693",14.5,"38,506.90",81.2,13.8,0.5,0.5,1.7,2.3
BUCK,812,"42,639",14.5,"38,521.30",88.1,5.7,0.8,1.4,1.9,2.1
MIDDLETON,813,"42,578",14.4,"38,535.80",66.7,28.2,0.5,0.5,2.1,2.1
SELLERS,814,"42,577",14.4,"38,550.20",76.5,17.8,0.5,1,2,2.1
LEBLANC,815,"42,575",14.4,"38,564.60",86.2,8.8,0.5,0.7,1.4,2.5
ESPARZA,816,"42,559",14.4,"38,579.10",5.1,0.1,0.2,0.2,0.2,94.2
HARDIN,817,"42,469",14.4,"38,593.50",77.7,16,0.6,1.4,2.2,2.2
BRADSHAW,818,"42,465",14.4,"38,607.90",78.1,16.4,0.5,0.6,2.2,2.3
MCINTOSH,819,"42,379",14.4,"38,622.20",69.8,23.8,0.6,1.1,2.5,2.3
HOWE,820,"42,265",14.3,"38,636.60",90.6,3.2,1,1.3,1.8,2.1
LIVINGSTON,821,"42,103",14.3,"38,650.80",72.1,20.9,0.5,1.9,2,2.5
FROST,822,"42,015",14.2,"38,665.10",86.5,7.7,0.7,0.9,2,2.2
GLASS,823,"41,802",14.2,"38,679.30",77,17.4,0.4,1.1,1.9,2.3
MORSE,824,"41,774",14.2,"38,693.40",90.5,4.3,0.7,0.6,1.8,2.1
KNAPP,825,"41,771",14.2,"38,707.60",94.7,0.6,0.6,0.4,1.4,2.3
HERMAN,826,"41,750",14.2,"38,721.70",90.5,3.4,0.9,1,1.3,2.9
STARK,827,"41,735",14.2,"38,735.90",92.5,2.3,0.6,0.7,1.5,2.5
BRAVO,828,"41,700",14.1,"38,750.00",6.2,0.7,1.9,0.3,0.4,90.6
NOBLE,829,"41,667",14.1,"38,764.10",77.7,14.4,1.7,0.7,2.1,3.4
SPEARS,830,"41,665",14.1,"38,778.30",67,26.3,0.5,1.6,2.5,2.2
WEEKS,831,"41,565",14.1,"38,792.40",84.4,10,0.6,0.8,1.8,2.5
CORONA,832,"41,553",14.1,"38,806.40",8.6,0.3,0.4,0.2,0.3,90.3
FREDERICK,833,"41,394",14,"38,820.50",80.1,14.1,0.6,0.8,1.9,2.4
BUCKLEY,834,"41,348",14,"38,834.50",83.2,11.5,0.6,0.7,1.7,2.4
MCFARLAND,835,"41,300",14,"38,848.50",78.9,15.6,0.6,0.6,2.1,2.2
HEBERT,836,"41,275",14,"38,862.50",90.4,4.9,0.5,0.6,1.4,2.4
ENRIQUEZ,837,"41,271",14,"38,876.50",4,0.6,7.9,0.4,0.6,86.5
HICKMAN,838,"41,163",14,"38,890.40",75.2,18.7,0.5,1.3,2.2,2.3
QUINTERO,839,"41,158",14,"38,904.40",4.2,0.4,0.4,0.8,0.2,94.1
RANDOLPH,840,"41,129",13.9,"38,918.30",55.9,37.7,0.5,0.7,2.9,2.4
SCHAEFER,841,"41,063",13.9,"38,932.20",95.1,0.5,0.7,0.4,1.3,2.2
WALLS,842,"41,025",13.9,"38,946.20",68.7,25.4,0.4,0.8,2.4,2.4
TREJO,843,"41,021",13.9,"38,960.10",4,0.4,0.1,0.3,0.2,95.1
HOUSE,844,"41,000",13.9,"38,974.00",75.1,18.7,0.4,1.5,2.3,2.1
REILLY,845,"40,884",13.9,"38,987.80",95.3,0.4,0.7,0.1,1.2,2.3
PENNINGTON,846,"40,854",13.9,"39,001.70",87.9,7.2,0.4,0.5,1.8,2.2
MICHAEL,847,"40,736",13.8,"39,015.50",83.6,8.9,2,0.7,1.9,3.1
CONRAD,848,"40,707",13.8,"39,029.30",92,3.1,0.6,0.6,1.5,2.2
GILES,849,"40,598",13.8,"39,043.00",64.9,26.2,0.4,0.5,2.3,5.7
BENJAMIN,850,"40,590",13.8,"39,056.80",49,41.6,2.5,0.9,2.6,3.4
CROSBY,851,"40,563",13.8,"39,070.60",70,24,0.5,0.7,2.2,2.5
FITZPATRICK,852,"40,449",13.7,"39,084.30",85.6,9.4,0.6,0.4,1.7,2.3
DONOVAN,853,"40,410",13.7,"39,098.00",92.9,2,0.7,0.3,1.3,2.8
MAYS,854,"40,408",13.7,"39,111.70",54.8,39.7,0.4,0.6,2.7,2
MAHONEY,855,"40,397",13.7,"39,125.40",91.1,4.3,0.6,0.2,1.5,2.3
VALENTINE,856,"40,395",13.7,"39,139.10",66.1,23.3,0.7,0.5,2.1,7.4
RAYMOND,857,"40,275",13.7,"39,152.70",79.1,13.6,1.1,0.9,2.1,3.3
MEDRANO,858,"40,261",13.7,"39,166.40",4.3,0.3,1.9,0.2,0.3,93
HAHN,859,"40,250",13.7,"39,180.00",90.2,0.5,5.7,0.3,1.3,2
MCMILLAN,860,"40,237",13.6,"39,193.60",68,25.6,0.6,1.3,2.4,2.2
SMALL,861,"40,212",13.6,"39,207.30",62.7,30.8,0.6,1.4,1.9,2.6
BENTLEY,862,"40,193",13.6,"39,220.90",82.5,12.4,0.5,0.5,1.9,2.3
FELIX,863,"40,165",13.6,"39,234.50",17.5,11.6,2.8,0.9,1,66.3
PECK,864,"40,055",13.6,"39,248.10",90.7,3.6,0.9,0.5,1.7,2.6
LUCERO,865,"39,986",13.6,"39,261.60",11.1,0.2,2.7,2.9,0.7,82.4
BOYLE,866,"39,921",13.5,"39,275.20",93.5,2,0.6,0.3,1.3,2.3
HANNA,867,"39,890",13.5,"39,288.70",87.1,6.4,1,0.6,2.2,2.7
PACE,868,"39,879",13.5,"39,302.20",78.3,16.5,0.7,0.5,1.7,2.4
RUSH,869,"39,802",13.5,"39,315.70",74,20.8,0.5,0.7,1.9,2.2
HURLEY,870,"39,796",13.5,"39,329.20",90.7,4.6,0.7,0.6,1.5,1.9
HARDING,871,"39,787",13.5,"39,342.70",80.1,13.6,0.6,0.9,2.2,2.5
MCCONNELL,872,"39,754",13.5,"39,356.20",88.8,6,0.6,0.8,1.8,2.1
BERNAL,873,"39,693",13.5,"39,369.60",8,0.4,2.4,0.3,0.4,88.5
NAVA,874,"39,670",13.5,"39,383.10",4.5,0.3,1.1,0.2,0.2,93.8
AYERS,875,"39,623",13.4,"39,396.50",83,11.7,0.6,0.6,2.1,2.1
EVERETT,876,"39,593",13.4,"39,409.90",68.9,24.6,0.5,0.7,2.1,3.2
VENTURA,877,"39,580",13.4,"39,423.40",18.8,0.8,4.6,0.3,1,74.5
AVERY,878,"39,564",13.4,"39,436.80",71.1,22.9,0.5,0.8,2.4,2.3
PUGH,879,"39,559",13.4,"39,450.20",67.2,28.1,0.5,0.4,2,1.8
MAYER,880,"39,555",13.4,"39,463.60",93.1,1.3,0.9,0.4,1.3,3
BENDER,881,"39,551",13.4,"39,477.00",88.5,6.5,0.7,0.6,1.6,2.1
SHEPARD,882,"39,430",13.4,"39,490.40",76.7,17.1,0.6,0.9,2.2,2.6
MCMAHON,883,"39,411",13.4,"39,503.70",93.2,2.3,0.7,0.2,1.3,2.3
LANDRY,884,"39,391",13.4,"39,517.10",83,12.6,0.5,0.4,1.5,2.1
CASE,885,"39,319",13.3,"39,530.40",92.3,2.1,0.7,1,1.7,2.2
